Kabupaten/Kota,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Buah-Buahan Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,
Kepulauan Talaud,6522.42,131.46,111.2,157.16,363.21,118.48,1566.55,19.83,202.14,1284.07,507.04,271.33,1595.29,74.34,17,103.3
Minahasa Selatan,6078.36,157.18,177.27,758.37,389.94,113.08,256.19,198.2,512.39,1269.35,972,590.35,275.46,291,17.47,100.11
Minahasa Utara,7666.87,239.47,213.47,1228.35,342.61,152.17,416.8,173.95,792.68,1575.76,1136.98,606.37,226.65,248,1.56,312.05
Bolaang Mongondow Utara,4892.78,73,133.13,399.48,282.96,336.07,698.81,51.7,238.35,1290.56,595.78,250.73,204.46,127.62,63.06,147.05
Siau Tagulandang Biaro,7151.55,222.01,28.23,366.64,146.11,143.33,2326.58,410.71,187.1,2123.06,664.24,248.34,82.3,110.58,1.73,90.59
Minahasa Tenggara,6448.79,48.59,612.67,205.99,611.19,301.95,502.43,117.85,478.79,1373.29,759.36,552.02,407.34,254.18,53.92,169.23
Bolaang Mongondow Selatan,10068.8,148.18,619.18,95.12,701.55,129.21,6204.13,170.26,188.03,937.85,260.66,259.5,103.36,91.83,11.91,148.03
Bolaang Mongondow Timur,8934.48,120.07,861.73,463.68,888.7,1364.71,2087.59,25.45,301.52,1255.56,466.87,352.65,281.2,367.3,22.99,74.44
Kota Manado,7011.45,307.83,214.51,929.81,365.15,242.94,48.75,151.37,460.87,1614.87,1019.88,505.84,681.04,106.98,14.05,347.56
Kota Bitung,6294.13,138.75,947.15,659.75,162.74,143.35,92.93,118.45,773.23,1272.08,928.95,524.25,172.95,162.02,5.3,192.24
Kota Tomohon,6832,448.18,204.53,808.33,136.81,556.8,290.83,521.61,739.54,1074.97,968.31,250.84,252.85,234.58,15.46,328.36
Kota Kotamobagu,6976.93,265.33,148.71,690.6,364.49,342.2,891.47,68.19,526.56,1424.26,783.84,434.2,387.57,231.34,14.18,404.01
Banggai Kepulauan,6827.84,27.99,470.24,38.29,21.19,105.88,3208.11,60.72,137.14,1166.28,338.02,171.29,739.12,42.05,9.03,292.5
Banggai,7139.92,182.2,297.82,187.13,942.76,94.14,2404.91,238.08,203.11,997.53,412.65,169.63,310.62,305.6,31.36,362.38
Morowali,11146.34,362,474.55,525.36,1361.13,675.01,3679.87,212.73,364.3,746.24,673.36,549.07,798.79,164.01,15.13,544.81
Poso,11833.87,66.23,101.29,152.52,1788.73,468.75,5452.59,62.54,161.71,1116.2,757.03,415.88,604.93,154.2,33.62,497.65
Donggala,4194.69,91.42,421.22,199.05,23.44,2.61,523.88,147.61,136.83,1087.67,444.12,272.19,459.35,111.65,32.15,241.49
Toli-Toli,4255.01,192.99,391.86,300.17,44.69,0.51,679.85,89.38,88.11,757.46,361.92,178,173.46,210.11,102.11,684.38
Buol,4963.06,51.29,367.46,108.92,142.8,113.37,1557.13,47.76,124.29,713.29,523.36,181.66,707.49,37.24,34.19,252.8
Parigi Moutong,6443.09,109.92,571.08,147.88,343.11,0.52,2249.58,98.49,113.22,1020.1,261,314.75,543.76,131.73,101.07,436.87
Tojo Una-Una,7715.84,107.64,226.92,253.53,303.83,24.87,4528.07,42.79,358.39,954.96,410.79,118.54,-,182.46,17.66,185.41
Sigi,5264.32,210.96,716.26,457.69,134.95,2.97,326.72,68.57,347.53,804.26,804.83,345.14,725.37,83.07,60.12,175.87
Banggai Laut,7782.97,98.51,1119.31,69.27,214.39,55.58,2966.89,162.62,136.61,1535.67,258.3,398.12,737.13,13.83,3.54,13.2
Morowali Utara,11296.26,218.99,157.58,81.41,1874.96,741.87,4845.99,110.91,86.9,817.08,470.98,266.78,331.76,536.31,41.52,713.23
Kota Palu,7105,335.98,978.54,775.96,191.17,-,726.2,24.68,105.76,628.58,701.85,541.46,897.59,339.54,79.73,777.97
Kepulauan Selayar,6560.91,81.38,68.11,403,839.62,5.06,192.26,31.29,629.76,2834.7,521.78,105.77,172.34,97.47,44.43,533.96
Bulukumba,9360.29,223.53,289.01,343.51,3100.61,110.25,2012.94,154.97,328.6,1537.31,278.94,103.16,159.45,207.53,43.87,466.62
Bantaeng,9860.17,281.55,873.71,466.97,2357.45,287.49,2230,84,558.31,1330.28,317.57,262.55,73.08,148.23,93.68,495.31
Jeneponto,5009.78,292.5,58.89,324.13,1183.61,51.46,373.9,119.25,596.41,1347.94,311.6,49.35,78.28,70.06,38.28,114.09
Takalar,5435.38,183.54,173.95,462.44,845.53,24.45,694.85,410.95,219.25,1274.21,313.44,74.48,301.56,85.12,63.74,307.88
Gowa,6177.75,387.27,285.09,516.08,1103.36,58.69,745.69,286.83,362.14,913.35,476.33,154.35,297.44,180.38,36.53,374.22
Sinjai,6194.32,129.93,421.8,283.03,1004.46,78.54,1218.9,76.55,447.01,1327.44,412.92,137.04,71.02,132.23,64.14,389.32
Maros,5905.42,213.23,111.18,610.54,744.31,34.65,1042.14,346.97,232.8,1182.51,344.01,62.95,144.04,270.58,56.44,509.07
Pangkajene dan Kepulauan,7604.4,277.26,226.13,685.11,1131.95,55.42,485.93,837.08,315.15,1473.09,689.44,297.67,116.1,228.09,128.98,657
Barru,5447.83,222.82,128.95,896.72,593.41,10.89,525.22,221.86,186.58,1376.33,225.8,196.16,173.77,147.35,7.03,534.95
Bone,4259.64,132.44,408.64,262.82,429.79,32.23,846.93,193.92,111.52,1080.11,259.08,121.24,143.56,44.24,13.73,179.39
Soppeng,4670.03,148.67,291.19,432.94,226.81,24.52,479.06,154.22,184.67,1627.93,341.35,220.64,121.54,46.59,18.96,350.94
Wajo,9444.19,212.39,878.06,260.39,525.47,126.38,4321.42,251.94,103.73,1586.16,254.89,221.35,455.94,75.34,25.77,144.98
Sidenreng Rappang,5392.82,138.87,176.54,510.76,238.49,32.54,2024.06,315.55,61.77,851.94,272.34,249.43,87.25,153.11,49.46,230.72
Pinrang,6096.96,180.53,254.61,549.97,99.18,5.99,1272.57,161.88,120.9,1134.66,448.25,659.67,346.77,226.19,51.74,584.05
Enrekang,7862.17,401.64,322.91,514.47,605.97,216.27,2163.52,145.93,262.9,992.94,604.1,252.56,284.35,311.18,50.54,732.88
Luwu,8888.74,168.99,247.63,241.93,1325.83,280.4,4566.04,167.62,87.94,733.25,249.89,189.96,258.88,67.44,39.19,263.74
Tana Toraja,4175,250.89,62.87,158.35,476.33,43.1,182.49,75.92,220.45,1323.79,470.33,74.35,388.79,264.16,51.8,131.4
Luwu Utara,11685.99,178.31,133.42,193.85,602.9,184.48,7397.62,188.67,104.75,989.91,232.76,479.25,453.33,64.92,32.75,449.07
Luwu Timur,14675.26,206.55,137.38,492.53,1850.99,161.88,8059.3,157.98,179.73,905.76,615.71,696.13,138.16,398.46,41.67,633.03
Toraja Utara,6158.43,247.38,99.55,234.12,1062.61,152.66,1267.69,172.45,181.09,1167.06,453.64,91.93,150.84,471.8,132.98,272.63
Kota Makasar,7663.52,488.65,334.55,966.09,428.73,9.63,1000.27,278.77,471.74,981.44,792.6,507.57,329.56,396.32,32.26,645.35
Kota Parepare,6809.87,496.83,114.91,1123.98,128.04,2.07,1929.74,205.02,37.39,1099.66,433.23,214.63,225.43,200.95,22.42,575.57
Kota Palopo,17158.63,210.42,151.51,352.66,3092.15,715.48,9773.14,104.55,74.8,841.46,517.94,383,33.92,296.64,7.77,603.19
Buton,4282.52,123.41,457.43,306.78,759.68,5.57,63.14,292.14,387,1042.94,153.25,102.69,167.48,123.91,24.48,272.61
Muna,4109.47,75.58,177.75,259.25,721.74,17.5,16.44,131.39,256.35,1050.65,329.45,546.59,166.77,9.72,19.04,331.26
Konawe,7208.54,292.39,80.59,402.7,822.06,40.13,2598.76,231.69,226.48,788.39,331.24,364.8,400.7,24.98,16.34,587.28
Kolaka,7435.22,453.59,316.04,816.5,189.77,19.82,1492.46,324.89,189.74,1109.96,472.47,684.63,281.75,323.2,20.89,739.5
Konawe Selatan,4003.45,122.97,123.45,306.84,145,-,663.11,212.3,92.08,1020.61,229.98,155.19,398.1,50.02,21.63,462.16
Bombana,5230.58,176.97,521.19,392.85,185.95,-,1171.8,297.42,54.4,1234.54,207.17,279.95,232.49,32.18,10.07,433.59
Wakatobi,6380.19,317.89,207.59,504.29,706.28,23.48,362.85,68.91,403.35,2082.21,593.35,267.85,254.24,131.75,49.1,407.05
Kolaka Utara,14189.08,54.1,531.66,386.05,482.02,199.74,8885.19,109.77,108.89,1327.77,253.5,363.67,472.85,586.12,6.62,421.12
Buton Utara,4522.33,228.02,310.83,442.9,548.5,2.73,100.6,297.64,222.8,1171.28,188.8,357.68,76.43,98.45,48.23,427.47
Konawe Utara,9525.37,300.5,262.43,720.03,783.6,77.23,3826.55,182.19,223.75,981.8,284.24,427.16,669.95,42.16,39.38,704.39
Kolaka Timur,6322.3,136.42,375,478.47,62.65,-,1747.62,156.71,264.68,920.3,298.74,378.12,659.58,120.9,20.59,702.52
Konawe Kepulauan,6326.14,75.43,889.28,410.92,424.57,26.01,1400.09,92.41,141.96,1338.29,94.25,270.87,1063.48,10.49,17.31,70.76
Muna Barat,4307.33,182.91,88.95,288.42,730.2,35.66,49.52,182.73,278.63,1208.79,229.51,560.85,119.18,35.22,8.03,308.72
Buton Tengah,4133.76,132.1,208.29,420.23,709.19,86.51,98.51,53.44,175.38,880.48,258.15,385.93,389.46,37.84,9.87,288.39
Buton Selatan,3147.49,46.57,202.28,29.06,408.33,10.11,297.22,108.48,251.54,1137.12,215.62,202.92,36.17,-,36.69,165.38
Kota Kendari,8962.96,394.69,548.02,1621.86,223.97,25.73,832.27,220.24,518.44,879.78,609.82,474.5,729.41,154.13,84.55,1645.56
Kota Baubau,5792.45,290.36,74.03,603.86,672.41,19.13,796.31,105.41,236.96,1153.1,338.94,332.43,471.03,159.98,48.17,490.32
Boalemo,4917.08,250.04,253.35,387.05,832.81,101.52,291.12,304.49,219.39,1183.07,502.52,271.64,22.93,62.51,73.01,161.63
Gorontalo,5590.88,161.66,263.4,523.25,410.3,175.31,789.75,202.92,274.67,1106.11,757.39,497.9,11.23,133.53,43.32,240.14
Pohuwato,4262.28,144.93,362.68,290.59,459.37,59.36,1006.44,91.14,168.82,805.2,303.33,359.68,1.8,42.22,59.03,107.68
Bone Bolango,4684.6,107.73,372.35,411.22,123.4,24.68,509.72,59.44,167.49,1415.54,815.39,272.9,85.64,146.25,37.71,135.15
Gorontalo Utara,5477.63,39.31,264.37,294.41,249.69,105.47,1516.34,251.61,172.14,1082.74,613.7,272.93,201.6,36.66,19.75,356.89
Kota Gorontalo,5215.15,94.17,544.85,635.22,155.36,55.44,367.44,22.12,266.33,1170.49,878.63,457.94,46.59,228.86,25.95,265.77
Majene,3845.85,110.68,313.8,240.12,58.26,-,-,70.69,300.71,1217.23,505.16,424.73,255.05,51.81,20.12,277.48
Polewali Mandar,3820.41,195.24,130.61,408.75,137.58,20.4,265.32,94.2,142.54,937.1,516.88,261.34,372.35,68.85,49.27,219.98
Mamasa,2325.04,116.42,64.43,12.69,21.63,1.35,-,35,145.28,852.7,254.4,104.74,377.03,178.71,54.43,106.24
Mamuju,4666.41,454.81,584.65,290.6,131.1,13.47,30.97,41.66,266.39,878.24,421.91,738.27,485.64,110.44,14.53,203.74
Mamuju Utara,5305.94,359.34,640.9,470.13,590.55,38.12,42.91,146.05,128.73,840.61,328.54,821.38,251.25,187.93,64.59,394.9
Mamuju Tengah,4604.14,410.41,460.24,459.29,101,-,106.6,61.98,165.18,632.82,280.68,692.81,417.37,152.84,76.85,586.07
Maluku Tenggara Barat,3862.34,98.18,102.74,264.68,8.54,25.65,-,30.52,491.23,1842.13,433.47,178.06,33.74,49.88,27.65,275.86
Maluku Tenggara,6078.89,105.19,413.07,222.75,17.92,-,-,128.15,712.91,2227.82,1009.19,106.23,68.53,793.56,35.83,237.74
Maluku Tengah,8102.57,266.92,1925.65,187.99,384.1,85.64,822.41,464.64,615.67,884.09,744.03,443.25,226.92,261.93,101.62,687.7
Buru,10017.34,333.73,1611.75,401.57,713.65,96.1,4006.92,328.55,556.39,398.53,401,455.63,167.65,196.53,78.7,270.64
Kepulauan Aru,3515.8,217.02,578.5,230.29,56.75,-,52.35,110.54,200.24,980.58,187.78,268.65,18.7,232.7,57.16,324.55
Seram Bagian Barat,6703.93,112.63,1531.46,71.34,182.89,88.89,164.96,366.33,576.7,1509.21,503.43,301.67,120.15,325.76,130.21,718.3
Seram Bagian Timur,7107.02,409.75,2215.96,234.37,222.4,30.81,184.74,168.07,627.93,952.5,461.36,595.28,145.88,249.97,136.22,471.78
Maluku Barat Daya,5841.53,212.72,150.66,122.25,7.58,-,-,-,1057.47,2637.26,758.7,181.18,7.85,11.75,37.65,656.47
Buru Selatan,5264.16,81.53,1734.93,217.62,-,-,268.61,165.45,297.97,1349.95,331.62,34.61,220.66,157.45,156.82,246.94
Kota Ambon,7702.37,359.38,1182.02,666.44,114.86,30.32,266.75,201.56,232.97,759.91,613.7,728.16,425.45,1002.18,43.46,1075.2
Kota Tual,5531.12,189.97,388.33,282.53,157.79,-,22.96,146.89,403.86,1157.49,1272.69,394.86,66.7,795.72,56.81,194.5
Halmahera Barat,6963.17,167.41,119.31,163.08,92,819.45,245.1,580.19,234.65,2398.74,492.14,178.63,1019.76,148.05,53.57,251.12
Halmahera Tengah,10990.62,492.78,4051.98,483.98,508.31,271.4,140.31,514.96,138.34,2390.75,494.69,636.15,68.2,144.76,149.54,504.46
Kepulauan Sula,7923.01,121.46,1304.41,168.92,199.45,281.66,3420.56,95.93,253.08,1209.21,167.4,292.62,123.22,146.29,8.48,130.33
Halmahera Selatan,7154.56,65.9,1386.65,104.79,213.92,269.01,444.14,138.43,88.54,3419.79,313.6,160.01,-,56.19,41.3,452.29
Halmahera Utara,8372.49,167.85,347.39,141.5,961.5,1376.1,859.66,256.74,104.4,2401.2,470.15,215.48,752.28,88.69,8.72,220.82
Halmahera Timur,6668.38,188.19,1352.34,314.07,437.68,234.71,253.8,212.67,121.1,1217.64,676.79,831.52,228.58,118.1,73.06,408.16
Pulau Morotai,9470.22,361.88,408.21,209.59,1091.83,1037,622.18,585.8,174.86,3127.83,511.85,415.98,371.67,53,48.61,449.91
Pulau Taliabu,9586.1,225.81,2713.28,128.81,92.79,200.4,3546.59,-,184.11,2030.62,193.25,83.11,122.76,59.14,1.91,3.52
Kota Ternate,7453.53,412.46,356.37,757.58,387.25,401,1149.38,365.03,101.7,1025.97,874.87,693.01,26.3,231.93,49.78,620.9
Kota Tidore Kepulauan,9348.07,260.98,724.67,656.85,349.98,572.36,221.5,656.74,164.31,2556.02,1209.85,474.67,28.98,587.95,34.69,848.52
Fakfak,10235.22,386.12,3631.1,277.94,284.02,18.74,872.08,167.26,538.21,1318.42,613.73,453.43,154.53,603.52,186.77,729.34
Kaimana,13146.48,288.97,1254.21,515.03,476.02,99.22,4620.3,473.94,417.82,2678.98,368.51,354.12,55.08,726.58,112.25,705.44
Teluk Wondama,6637.03,510.95,1515.52,353.82,242.85,378.09,78.36,15.02,525.11,1567.23,570.12,115.79,170.9,73.24,171.75,348.31
Teluk Bintuni,18454.07,761.32,3448.58,554.53,2509.37,796.96,5065.84,40.49,585.83,1847.22,946.78,367.11,28.2,182.62,198.69,1120.53
Manokwari,12624.46,556.11,1547.66,375.84,3474.91,1357.25,1050.88,76.36,545.28,876.53,1176.87,262.33,112.4,281.61,233.28,697.18
Manokwari Selatan,12965.84,242.2,4171.57,272.24,3446.69,457.09,774.18,24.77,291.92,1414.53,708.92,29.07,207.44,413.28,191.94,319.97
Pegunungan Arfak,5482.6,535.72,171.07,13.34,216.26,295.76,13.79,16.5,232.38,682.19,644.12,48.06,51.68,526.11,5.71,2029.91
Raja Ampat,6292.74,247.04,2567.72,64.05,49.08,78.45,15.56,123.5,167.53,1558.83,335.61,89.77,176.72,14.13,229.76,575.01
Sorong,8826.03,1226.25,1362.95,610.85,118.99,58.91,100.79,340.13,615.92,1512.68,808.45,889.6,3.02,402.15,214.62,560.73
Sorong Selatan,8737.37,131.66,700.84,244.13,450.84,19.97,2549.88,79,277.38,2548.55,478.71,77.33,85.64,57.45,207.29,828.71
Maybrat,7765.84,220.52,468.21,387.01,388.53,-,140.5,164.38,587.75,1389.59,1331.35,189.38,116.64,770.67,294.91,1316.43
Tambrauw,10947.41,191.07,2762.23,94.61,1011.97,1410.93,868.67,-,505.36,3433.53,332.44,19.88,-,95.95,40.5,180.28
Kota Sorong,7954.97,631.65,1009.3,309.33,621.37,149.66,472.93,397.17,555.37,684.49,533.89,856.96,226.75,337.42,79.93,1088.75
Jayapura,14115.25,814.78,1253.32,681.16,1560.44,2579.84,1925.09,117.64,859.7,1300.45,1000.78,713.36,227.36,283.2,274.55,523.59
Kepulauan Yapen,4068.51,130.06,240.78,44.48,88.57,176.81,698.63,56.82,335.8,1336.12,442.68,110.64,182.62,66.82,31.22,126.46
Biak Numfor,5000.47,400.27,723.94,346.46,374.41,102.82,99.36,28.07,442.19,558.93,831.97,42.62,398.42,261.12,30.56,359.32
Sarmi,5309,404.54,177.7,6.43,1370.07,147.26,175.2,26.96,464.89,1230.76,860.53,182.37,182.91,-,34.72,44.65
Keerom,5128.7,515.9,128.29,152.42,1440.33,97.61,82.24,93.07,219.72,1166.36,503.82,245.33,110.79,82.95,48.49,241.37
Waropen,5914.29,236.55,2032.14,84.26,406.01,33.84,91.83,69.64,484.91,1344.15,611.27,128.97,170.24,60.88,59.12,100.5
Supiori,9320.38,159.15,261.3,232.22,474.64,250.03,5041.87,239.16,932.12,830.06,502.75,17.61,59,185.74,67.03,67.7
Mamberamo Raya,6845.68,-,-,-,99.19,-,517.55,88.12,872.26,4964.07,134.37,-,-,-,4.88,165.24
Kota Jayapura,8593.14,948.93,695.12,742.5,1075.38,739.86,320.48,91.17,534.35,682.22,793.73,518.67,470.68,213.72,191.91,574.43
Merauke,8922.69,1518.03,29.09,494.6,2.41,52.53,1288.58,111.92,305.06,1723.04,826.65,683.59,43.47,146.67,162,1535.05
Boven Digoel,6250.96,514.74,130.49,236.15,82.6,-,2339.95,115.23,479.93,1189.75,493.61,173.05,19.45,22.82,41.22,411.99
Mappi,5091.83,271.46,57.37,325.42,233.5,-,568.26,6.45,513.77,1965.57,615.14,230.59,-,154.14,94.36,55.8
Asmat,6648.71,481.68,13.98,752.16,37.45,-,-,192.81,498.4,2210.86,551.69,187.68,45.16,519.82,155.46,1001.56
Mimika,8065.1,955.11,536.9,564.44,149.99,777.93,170.04,275.74,416.21,1262.41,843.75,865.67,320.19,312.26,483.83,130.64
Dogiyai,8310.24,814.86,745.31,-,-,-,-,32.45,647.77,570.42,293.5,25.63,96,1333.52,56.24,3694.54
Deiyai,6416.94,1828.68,739.53,-,11.88,-,-,10.39,470.73,893.25,905.61,-,66.67,230.51,85.13,1174.55
Nabire,7121.78,758.69,1540.7,471.96,170.53,-,151.98,188.23,422.23,832.9,777.9,755.94,187.19,107.53,115.8,640.18
Paniai,6925.83,2805.03,120.36,-,-,-,-,-,99.44,943.12,712.56,14.13,1.28,597.62,18.84,1613.46
Intan Jaya,12492.03,3448.38,2597.94,-,-,-,40.4,1.79,359.54,1929.19,1692.24,2.53,272.6,1171.43,47.42,928.57
Puncak,1835.17,5.49,-,-,-,-,-,-,-,440.41,-,-,-,1389.27,-,-
Puncak Jaya,4292.34,-,853.91,-,-,-,-,-,2216.6,249.09,368.29,-,-,404.86,42.78,156.81
Nduga,5107.47,609.74,-,-,-,-,-,3.25,405.98,3326.04,24,18.68,437.95,174.63,8.32,98.85
Jayawijaya,10699.34,3361.81,11.95,127.43,-,91.7,9.38,49.2,1417.59,4253.19,265.7,146.65,394.7,360.69,20.16,189.18
Lanny Jaya,8873.54,507.87,-,-,-,-,-,-,166,7222.55,15.33,-,90.33,453.3,233.99,184.18
Tolikara,8467.15,2643.11,-,-,-,-,-,104.91,1271.41,2121.12,281.25,-,-,122.1,6.41,1916.85
Mamberamo Tengah,18892.63,8676.96,143.79,-,-,-,-,-,90.05,9252.8,-,-,-,-,-,729.03
Yalimo,11369.67,998.07,4.16,-,-,11.88,-,21.76,656.85,6118.04,585.59,-,-,161.68,112.3,2699.33
Yahukimo,9732.61,236.46,94.1,-,-,-,-,-,1896.31,2266.65,2516.96,264.68,11.24,1666.94,22.04,757.24
Pegunungan Bintang,6732.13,37.94,-,-,-,-,-,21.99,2991.9,1932.65,1090.88,-,35.92,9,-,611.85
