Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
,SAYUR-SAYURAN,Bayam,Kangkung,Kol/kubis,Sawi putih (petsai),Sawi hijau,Buncis,Kacang panjang,"Tomat sayur, tomat ceri",Wortel,Mentimun,Daun ketela pohon/daun singkong,Terong,Tauge,"Labu, labu siam, labu parang",Bahan sayur sop/cap cay/ kimlo (paket),Bahan sayur asam/lodeh (paket),Nangka muda,Pepaya muda,Jengkol,Bawang putih,Bawang merah,Bawang bombay,Cabe merah,Cabe hijau,Cabe rawit,Sayur-sayuran lainnya
Kota Sawah Lunto,22570,544,524,320,169,130,253,105,661,576,388,315,413,357,228,19,-,60,27,1737,2644,876,36,9482,1280,828,598
Kota Padang Panjang,17058,800,756,234,165,138,203,69,467,622,265,90,310,410,251,36,13,40,-,273,1932,827,36,8034,559,193,336
Kota Bukittinggi,17957,594,608,214,266,126,278,86,439,557,273,154,506,378,240,80,23,115,2,553,1969,781,75,8423,738,199,282
Kota Payakumbuh,17910,488,476,100,195,137,282,96,321,408,233,200,392,425,155,90,11,88,8,334,2093,908,35,9179,842,272,143
Kota Pariaman,17094,693,583,250,103,52,81,72,1049,437,235,117,263,385,113,15,0,46,1,255,2278,973,19,7351,612,728,382
Kuantan Singingi,22773,632,642,437,138,136,210,367,345,348,445,352,700,294,113,111,31,102,53,1157,3149,1325,29,8323,663,2472,197
Indragiri Hulu,21869,622,843,488,148,215,244,391,551,388,407,476,663,247,94,179,63,139,90,748,2784,1440,23,6796,701,2579,549
Indragiri Hilir,16639,398,709,784,106,139,229,303,193,282,445,469,577,226,252,33,13,156,122,278,2737,1747,13,3837,194,1773,624
Pelalawan,22520,744,694,490,249,248,386,403,614,548,627,384,937,322,211,72,51,101,89,873,3221,1609,42,4938,731,3730,203
Siak,22056,683,769,485,384,231,314,474,850,569,407,327,802,294,145,83,61,181,142,449,2816,1814,47,5755,709,2998,267
Kampar,21879,684,723,390,265,141,308,451,376,553,324,329,919,226,82,139,18,113,100,586,3126,1607,18,7335,605,2257,206
Rokan Hulu,25104,806,852,612,273,204,384,704,827,474,476,487,1113,218,217,95,32,230,167,365,3131,1685,45,7339,645,3520,202
Bengkalis,22523,792,818,548,270,299,313,431,841,515,501,451,655,357,133,80,88,241,99,837,2879,1958,110,5883,563,2634,227
Rokan Hilir,18185,594,704,568,256,224,337,517,660,412,300,339,802,117,105,58,19,162,121,214,2595,1552,28,4014,614,2698,176
Kepulauan Meranti,14209,583,782,478,117,220,148,430,184,276,361,374,457,467,95,33,16,141,19,123,2080,1650,26,2601,326,1711,512
Kota Pekanbaru,19445,694,658,221,276,134,341,172,818,641,414,138,479,322,199,57,75,53,19,537,2790,1412,59,6895,477,1239,327
Kota Dumai,18885,779,787,335,429,230,293,282,107,609,543,309,501,375,173,27,52,110,77,420,2544,1448,96,5779,368,1911,302
Kerinci,18205,425,307,302,23,66,506,165,401,217,376,505,687,289,251,19,-,43,19,578,1881,968,66,8597,521,193,800
Merangin,21721,588,715,366,158,204,281,553,676,262,348,726,883,181,180,47,49,132,120,1408,2310,947,20,6360,586,3164,457
Sarolangun,18711,567,743,357,108,87,118,399,333,224,284,485,744,229,77,66,19,66,64,1572,2212,974,0,5613,195,2796,378
Batang Hari,19775,693,782,422,202,214,264,446,376,380,434,429,792,326,199,94,78,77,114,813,2355,1341,13,5741,251,2711,228
Muaro Jambi,20801,768,789,440,351,329,294,647,464,518,344,418,766,386,200,43,46,175,229,824,2551,1507,46,5796,370,2255,246
Tanjung Jabung Timur,20781,890,843,408,313,153,263,447,611,371,306,460,848,149,241,137,21,132,186,787,2700,1878,3,5861,227,2390,155
Tanjung Jabung Barat,17517,815,672,481,126,219,327,538,301,408,442,454,573,325,168,111,97,139,83,418,2436,1511,11,3630,244,2496,492
Tebo,19598,550,690,425,131,253,192,501,391,295,413,522,968,177,106,88,18,213,196,1155,1910,1101,23,5461,428,3051,340
Bungo,22504,606,704,398,215,60,202,534,155,319,469,573,1092,183,228,110,25,102,102,1298,2460,892,9,7666,321,2930,850
Kota Jambi,17443,763,767,245,329,309,310,287,506,596,327,230,471,294,209,110,191,41,61,410,2204,1084,84,5559,283,1194,578
Kota Sungai Penuh,16685,614,479,226,45,84,341,154,483,337,286,300,586,286,265,23,0,25,2,895,1647,710,84,8103,280,216,216
Ogan Komering Ulu,11395,450,546,270,189,105,87,373,662,243,183,433,512,203,130,385,184,62,29,87,1405,1168,19,1678,64,1706,219
Ogan Komering Ilir,17033,558,717,589,303,119,150,717,512,416,475,494,679,115,215,403,264,151,214,146,2250,1639,7,2327,525,2718,333
Muara Enim,16468,529,633,550,251,172,170,313,871,320,276,400,671,251,255,521,387,70,37,243,1773,1474,23,3763,437,1728,349
Lahat,18253,515,699,546,419,248,228,337,1154,411,175,424,854,252,288,181,73,156,79,211,1752,1582,34,5350,203,1428,653
Musi Rawas,15961,525,633,315,292,280,216,518,555,247,193,645,813,155,69,344,188,229,323,509,1640,1509,2,2868,280,2324,289
Musi Banyuasin,17208,680,784,539,340,264,305,625,591,457,440,538,612,316,161,254,387,231,188,368,2225,1614,12,2871,405,1755,245
Banyu Asin,17421,724,706,669,330,290,219,618,478,484,461,483,796,282,152,380,411,121,131,129,2203,1637,30,3191,487,1772,238
Ogan Komering Ulu Selatan,14233,461,635,350,97,146,264,365,1244,146,190,431,672,259,197,222,128,78,75,672,1728,1309,24,1728,111,2275,425
Ogan Komering Ulu Timur,13828,414,509,180,167,90,119,567,608,178,161,493,614,135,154,448,155,136,200,99,2121,1670,12,1274,170,2799,356
Ogan Ilir,12340,361,366,424,211,198,51,260,435,402,439,325,484,181,183,265,213,32,48,125,1658,1160,28,2959,302,830,398
Empat Lawang,14223,319,404,436,226,176,303,260,1014,232,247,344,856,221,235,46,17,147,80,607,1243,1188,33,2891,169,1858,672
Penukal Abab Lematang Ilir,12480,416,497,537,155,172,96,236,559,248,254,205,633,102,74,254,239,61,72,331,1461,1059,-,2998,361,1225,236
Musi Rawas Utara,15260,476,423,359,170,206,176,238,405,195,302,300,620,140,159,184,150,109,141,793,1889,1289,27,4135,420,1701,254
Kota Palembang,14707,585,610,272,389,226,161,259,581,446,358,142,321,267,198,803,602,24,12,114,1728,1470,108,3325,234,1052,419
Kota Prabumulih,12588,578,492,235,178,153,77,196,484,353,199,221,313,236,95,411,286,26,44,46,1591,1576,52,3234,181,1182,148
Kota Pagar Alam,14744,201,366,532,315,207,403,190,906,296,124,329,577,287,330,116,54,98,61,120,1377,1578,12,4002,205,1371,685
Kota Lubuklinggau,14326,542,537,387,319,165,220,309,616,323,229,335,553,214,218,247,219,74,129,445,1452,1214,26,3199,128,1977,250
Bengkulu Selatan,16806,360,512,266,259,122,128,494,516,245,277,522,790,61,112,284,32,334,164,400,1293,977,56,6085,127,1541,848
Rejang Lebong,19601,375,582,394,240,270,422,232,590,212,182,449,870,242,293,41,38,77,63,975,1607,1470,30,6073,421,2943,508
Bengkulu Utara,21360,641,726,432,342,254,296,651,417,434,391,615,1081,227,206,387,54,230,199,393,2155,1668,9,6301,211,2661,378
Kaur,15892,262,563,312,138,136,151,629,631,142,321,366,823,41,81,94,8,264,232,279,1471,937,27,6115,44,1423,402
Seluma,17363,471,708,387,187,129,119,577,371,220,176,441,1081,110,79,217,17,261,166,389,1558,1119,2,6271,89,1525,691
Mukomuko,23996,730,944,513,220,154,309,676,526,498,292,499,1402,185,225,185,78,200,191,501,2672,1316,12,7994,405,2879,392
Lebong,20610,232,497,319,92,278,301,497,905,243,319,306,1021,179,86,36,2,97,75,947,1773,1449,27,7460,497,2133,837
Kepahiang,18705,334,569,376,265,278,472,264,913,240,178,444,897,225,210,59,12,55,93,737,1433,1316,7,4659,247,3487,937
Bengkulu Tengah,21567,636,739,484,292,221,260,470,519,326,365,444,1213,173,118,246,56,197,230,821,1922,1570,9,7295,269,2149,545
Kota Bengkulu,18380,621,772,250,318,241,137,304,411,331,360,241,673,212,175,244,80,93,55,554,1906,1407,45,6760,261,1334,597
Lampung Barat,15761,472,520,390,154,173,477,445,1391,251,249,544,547,304,397,190,118,212,158,456,2028,1643,6,746,261,3231,400
Tanggamus,14336,367,519,219,153,153,343,616,782,135,237,555,516,234,228,319,215,182,264,722,1899,1484,50,1275,98,2498,271
Lampung Selatan,15388,526,616,114,189,180,169,445,680,212,312,528,631,203,148,535,514,198,340,533,2003,1757,13,1929,226,2113,273
Lampung Timur,13395,399,561,80,78,70,118,566,354,127,264,601,745,107,138,459,216,174,370,91,1877,1601,8,897,174,3047,274
Lampung Tengah,16256,517,623,191,169,133,271,695,470,274,400,674,778,177,162,617,304,229,443,196,2047,1729,28,1476,271,3100,283
Lampung Utara,15148,429,471,157,189,111,100,550,896,201,440,503,804,149,204,444,266,143,192,326,2014,1727,42,1768,258,2451,312
Way Kanan,16976,592,581,260,193,138,302,772,796,221,343,776,1000,134,233,516,151,115,365,349,2132,1692,4,1199,74,3674,364
Tulangbawang,16189,677,717,247,188,76,163,736,582,169,233,758,968,87,221,466,382,208,456,383,2024,1677,28,1367,114,2943,318
Pesawaran,17297,473,632,151,180,117,302,627,807,216,308,616,743,264,198,527,336,213,448,409,2204,1782,9,1802,207,3028,697
Pringsewu,13921,289,590,82,85,122,199,516,610,146,246,493,606,214,176,468,207,113,423,308,1742,1738,2,1177,165,2732,472
Mesuji,17067,587,680,219,88,104,264,904,594,246,386,891,1102,139,224,467,254,121,493,201,2135,1816,4,1066,264,3480,336
Tulang Bawang Barat,16169,444,530,142,105,95,182,630,548,209,331,618,999,107,198,421,278,257,315,145,2162,1765,-,1974,397,3020,297
Pesisir Barat,19912,642,850,429,190,116,495,724,1366,165,211,636,1211,252,204,324,133,218,378,354,2257,1633,10,3554,82,3082,393
Kota Bandar Lampung,16659,586,588,128,307,294,131,326,851,321,364,199,501,355,204,902,643,42,91,225,1842,1748,114,3300,425,1809,364
Kota Metro,16262,576,786,77,312,151,209,605,494,247,412,422,682,228,266,704,354,97,335,127,1887,1780,37,2358,191,2336,590
Bangka,18470,1223,1036,127,292,803,151,525,240,509,730,670,501,367,81,50,120,170,357,0,2746,1532,24,2954,157,2830,274
Belitung,18675,781,1036,213,339,871,126,398,210,361,495,331,532,472,114,561,406,76,121,62,2750,1389,78,3320,126,3325,181
Bangka Barat,16093,902,645,207,391,657,114,375,174,263,510,484,577,444,73,79,75,101,264,15,2294,1248,34,2996,53,2908,210
Bangka Tengah,17738,709,989,160,127,614,122,634,96,262,306,809,450,265,93,12,101,138,425,43,2953,1296,23,2639,161,3923,389
Bangka Selatan,18668,754,938,228,213,353,62,553,181,315,691,612,611,272,29,57,28,115,390,24,2769,997,14,3038,103,5021,298
Belitung Timur,19429,807,1215,218,462,929,49,382,127,356,431,372,365,617,85,285,249,31,31,7,3070,1504,37,3526,102,3732,440
Kota Pangkal Pinang,22029,1235,1118,401,430,993,302,546,608,990,693,404,522,440,134,100,140,103,271,23,2779,1989,247,3282,271,3530,475
Karimun,18044,1061,795,287,258,589,234,426,645,573,265,337,390,603,288,73,98,127,167,304,2137,1478,118,3931,315,2251,296
Bintan,17378,896,748,248,308,403,107,481,561,649,335,363,475,404,103,111,167,89,160,163,2073,1563,151,3045,772,2617,383
Natuna,16284,773,942,363,426,670,123,317,273,445,505,337,367,314,110,121,13,40,67,272,2431,1700,92,1826,235,2973,552
Lingga,13583,728,659,439,143,442,77,327,111,387,678,185,213,478,10,42,15,46,107,23,2309,1440,99,1794,321,2438,69
Kepulauan Anambas,18913,854,1001,362,357,644,233,322,228,521,679,227,547,317,131,-,9,70,44,100,2292,1557,294,2540,642,4570,372
Kota Batam,19654,1020,938,348,533,424,401,495,1249,901,420,211,568,382,233,252,141,61,37,379,2066,1295,172,4171,433,1937,587
Kota Tanjung Pinang,16885,849,645,230,232,368,246,412,375,724,364,166,373,358,156,126,153,49,100,198,2073,1397,185,3873,668,2146,419
Kep. Seribu,14684,529,587,14,187,302,13,73,394,75,330,14,153,255,195,1443,1075,5,11,103,2359,944,47,2858,76,2630,10
Kota Jakarta Selatan,22204,1012,769,153,562,346,418,397,660,607,454,78,294,349,395,1973,1223,55,16,180,2753,1838,446,4053,406,2231,537
Kota Jakarta Timur,18027,871,733,138,561,334,393,442,678,522,390,118,287,338,315,1193,881,35,8,136,2171,1559,381,3023,378,1878,264
Kota Jakarta Pusat,16792,832,698,99,534,250,300,271,610,405,273,32,197,239,309,1585,1105,20,2,85,1911,1499,326,3039,281,1649,242
Kota Jakarta Barat,15070,815,585,92,506,250,292,351,489,380,282,33,214,222,226,1310,741,27,5,219,1782,1283,367,2193,188,1780,437
Kota Jakarta Utara,17589,767,641,135,514,392,400,371,790,528,327,99,341,314,411,1332,844,52,32,177,2174,1695,340,2280,341,1917,377
Bogor,13031,515,539,126,304,213,200,232,608,279,494,141,167,284,207,864,648,21,20,315,1627,1138,75,1987,211,1586,230
Sukabumi,10572,432,562,201,121,119,239,214,660,259,519,310,191,205,167,699,461,25,17,443,1318,926,42,727,63,1306,346
Cianjur,10642,391,500,411,202,144,241,294,656,379,491,263,251,232,298,405,216,26,21,417,1366,1046,38,396,99,1396,463
Bandung,8937,356,606,372,208,161,245,136,415,310,289,70,119,172,239,532,263,17,5,376,1031,937,72,310,139,1208,349
Garut,8405,353,535,412,228,103,243,133,351,383,239,195,157,133,189,506,116,17,7,355,1066,890,44,171,69,1178,333
Tasikmalaya,7713,429,524,256,135,78,198,190,301,343,259,271,93,135,126,531,133,19,1,232,1075,723,44,219,79,1104,213
Ciamis,11674,497,682,311,153,94,311,415,449,554,496,382,248,265,275,886,268,33,35,344,1364,925,63,535,202,1462,427
Kuningan,9979,424,523,216,233,155,145,192,631,381,299,166,236,264,262,642,374,25,16,97,1299,953,24,693,131,1186,411
Cirebon,9682,349,476,142,155,162,73,209,464,310,314,58,310,149,158,744,638,6,7,136,1266,1014,48,940,246,1179,128
Majalengka,10034,342,561,323,146,117,176,243,484,489,416,151,300,204,286,539,320,8,15,410,1235,1025,12,612,103,1252,266
Sumedang,10265,315,537,263,224,158,172,203,504,387,350,199,195,177,266,855,241,14,11,714,1251,883,23,364,91,1193,673
Indramayu,13249,382,661,321,88,327,59,481,642,312,458,81,243,255,287,1079,1323,32,31,204,1583,1182,43,1164,298,1602,111
Subang,10957,457,668,109,143,118,124,366,377,216,624,81,124,200,158,1001,716,30,27,543,1455,917,25,706,178,1493,101
Purwakarta,10273,391,491,173,211,146,120,316,581,300,445,161,179,231,175,660,417,2,18,382,1459,897,28,823,119,1336,215
Karawang,12681,663,752,106,179,136,82,309,471,266,685,46,219,295,169,984,965,20,20,619,1451,804,48,1315,181,1777,120
