Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Sayur-Sayuran Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,
Pacitan,12700.71,474.89,375.23,124.84,202.25,223.11,376.17,557.7,136.74,302.86,132.2,697.63,419.65,127.19,136.5,787.75,47,194.99,244.24,18.73,2185.18,1317.45,10.08,450.91,232.7,2593.11,331.64
Ponorogo,12848.26,468.62,383.53,243.48,201.63,180.96,282.54,503.9,353.06,327.37,161.99,440.19,671.13,260.81,189.57,743.57,164.18,182.26,253.36,5.97,2219.48,1210.85,40.32,363.75,69.19,2537.57,388.98
Trenggalek,11712.72,360.87,329.84,90.49,87.3,192.45,289.05,472.18,112.13,161.01,149.88,722.74,443.87,105.57,210.45,565.13,55.86,341.67,108.8,-,2178.78,1026.83,8.59,174.97,127.25,2838.91,558.08
Tulungagung,14117.82,537.58,371.88,90.96,167.93,286.58,158.51,629.53,223.36,157.19,145.98,487.76,656.63,132.1,133.94,976.26,230.99,321.25,464.66,2.54,2437.33,1598.35,43.92,448.19,112.64,3129.29,172.45
Blitar,12299.6,367.96,259.49,57.87,115.28,217.25,166.81,530.36,177.97,107.19,76.15,368.57,557.46,149.43,163.7,669.66,114.39,348.11,356.62,8.16,2290.19,1203.49,19.44,144.87,39.39,3238.17,551.6
Kediri,12300.37,396.28,372.23,111.22,136.59,345.51,133.12,502.74,304.42,181.08,127.97,291.5,633.14,113.18,111.37,665.42,302.1,224.51,490.17,22.78,1849.95,1344.7,17.41,636.5,56.72,2640.97,288.8
Malang,12414.69,519.4,283.75,267.75,174.97,308.13,143.27,501.77,485.56,217.18,174.26,243.76,546.66,213.8,400.31,746.07,113.09,215.34,127.05,54.13,2397.74,1377.65,55.85,375.93,35.21,2168.77,267.3
Lumajang,13176.17,692.98,402.82,334.71,112.23,385.46,117.97,514.92,632.36,256.03,477.51,390.68,674.51,290.67,322.1,725.49,104.04,200.1,181.58,6.84,1911.13,1365.92,28.05,417.1,45.08,1974.28,611.61
Jember,10935.35,467.96,323.82,208.76,96.6,273.69,75.08,436.26,527.12,133.79,332.14,179.63,642.17,199.69,208.25,514.81,73.77,102.48,228.3,7.43,1767.72,1256.96,22.32,228.14,155.88,2031.21,441.36
Banyuwangi,13621.67,525.62,556.93,115.88,90.31,316.17,223.49,413.59,541.36,154.6,193.53,275.81,501.07,162.9,221.35,706.72,59.77,299.73,215.2,38.07,2059.6,1291.55,24,633.34,54.5,2952.03,994.53
Bondowoso,9715.32,405.61,244.27,217.83,51.36,372.86,161.88,386.07,534.04,118.12,325.93,204.55,651.32,82.28,375.9,565.56,49.67,45.48,40.34,22.44,1169.45,1051.98,25.25,295.21,170.02,1749.9,397.98
Situbondo,8950.41,416.33,405.9,145.06,66.76,178.19,41.96,344.34,359.92,87.52,278.3,188.85,589.51,70.76,247.83,611.19,38.18,11.47,19.33,-,1317.14,1017.73,18.01,405.5,94.46,1516.74,479.41
Probolinggo,7911.22,295.65,237.38,270.58,31.99,115.14,111.48,265.88,580,110.63,235.51,204.58,375.69,125.21,162.86,497.74,33.18,29.32,34.09,9.43,1016.45,970.31,11.17,202.49,6.99,1413.07,564.37
Pasuruan,9784.96,310.78,280.94,230.88,99.69,183.79,112.32,295.38,407.14,203.76,173.71,120.04,374.16,142.93,200.51,539.52,213.14,30.14,19.09,-,1617.49,1325.99,31.76,1100.57,39.08,1463.45,268.7
Sidoarjo,13087.04,498.11,513.75,211.9,156.93,266,152.47,327.17,437.43,401.5,186.84,55.32,431.23,181.43,132.37,973.39,803.47,92.1,24.92,-,2094.39,1653.94,113.98,1080.35,93.64,2051.09,153.32
Mojokerto,12221.78,395.58,373.36,149.44,100.13,259.97,90.95,389.05,427.65,221.17,110.81,136.39,442.18,157.85,147.25,686.35,500.11,111.23,192.46,3.13,2330.47,1524.75,70.81,834.45,144.62,2211.15,210.44
Jombang,10196.19,357.23,362.46,84.53,38.88,146.01,35.12,405.75,475.42,124.98,154.55,138.04,429.04,148.15,198.69,488.68,240.27,170.04,200.97,1.85,2007.46,1020.73,18.41,480.61,89.13,2142.74,236.44
Nganjuk,13107.28,483.41,322.22,157.3,137.93,268.66,125.5,485.49,445.07,303.55,137.72,268.29,569.49,167.86,202.5,609.45,283.03,148.63,205.89,15.72,2073.36,1381.49,25.66,468.71,89.45,3323.9,406.96
Madiun,11917.68,557.12,418.73,145.53,178.29,189.46,167.66,391.78,439.18,319.82,159.51,365.84,462.34,248.78,157.29,597.44,142.03,152.8,194.52,11.64,1833.13,1300.82,56.31,441.5,116.25,2654.36,215.54
Magetan,11846.11,461.58,263.52,188.13,137.46,337.3,263.23,377.04,400.57,376.11,78.82,340.44,405.52,202.9,241.6,668.23,233.2,76.66,166.52,6.01,1878.61,1452.76,29.09,843.59,215.48,1947.78,253.94
Ngawi,11874.1,623.09,380.37,94.86,126.82,239.89,122,467.67,333.69,248.31,92.83,299.42,466.96,115.8,139.45,798.99,421.81,123.39,153.76,18.08,1863.56,1339.1,13.67,879.16,390.12,2004.78,116.51
Bojonegoro,11579.76,483.34,394.06,51.01,30.78,91.89,70.8,520.61,575.91,118.45,89.17,211.27,600.47,140.69,147.73,679.78,277.06,153.57,151.03,7.44,2207.86,1079.26,5.19,818.55,316.72,2217.48,139.63
Tuban,12399.34,370.11,394.76,92.22,45.46,149.85,70.47,511.1,422.13,212.94,230.05,211.57,525.29,132.23,213.01,612.87,167.91,165.44,385.23,0.68,2503.38,1342.06,26.01,1027.65,343.86,1981.39,261.66
Lamongan,12848.44,419.23,534.09,57.99,41.21,123.34,49.58,549.79,492.47,129.96,192.33,109.88,425.29,184.39,232.14,723.42,217.52,74.39,132.37,3.15,2569.34,1517.33,35.75,765.4,297.1,2814.26,156.71
Gresik,13043.4,468.06,522.03,138.91,114.94,239.93,104.76,338.76,595.92,288.5,197.73,59,381.06,182.12,137.94,971.44,601.78,85.43,49.78,-,2374.32,1680.55,93,932.29,144.45,2208.17,132.54
Bangkalan,9002.89,461.95,354.99,121.43,36.41,131.52,73.4,270.95,280.07,188.23,221.42,86.11,282.4,193.33,44.02,545.23,215.32,110.55,95.74,-,1829.49,1111.49,10.44,712.79,68.22,1450.54,106.86
Sampang,7694.76,473.39,324.26,49.93,6.71,33.26,15.67,332.68,450.34,45.03,245.23,38.48,239.53,195.58,44.54,655.37,54.64,25.76,17.51,-,1519.38,913.92,5.28,237.76,16.71,1437.69,316.11
Pamekasan,7563.3,562.18,233.96,89.93,15.73,79.42,26.29,306.96,314.21,88.3,295.73,34.66,321.36,155.42,88.29,539.18,32.36,9.27,52.26,14.66,1362.18,1096.46,28.13,390.09,35.94,1057.52,332.82
Sumenep,14468.71,730.28,570.1,203.67,8.61,189.7,84.83,522.17,642.72,325.94,871.12,139.67,444.47,283.58,265.66,1251.63,59.49,28.49,86.02,-,2228.38,1936.46,45.55,911.07,138.31,1552.02,948.79
Kota Kediri,12373.77,458.31,510.64,148.87,202.11,406.14,128.58,523.87,419.34,472.27,114.97,120.03,702.69,196.12,198.82,811.98,390.78,111.82,282.4,3.77,1643.94,1349.63,100.28,879.73,36.36,1952.04,208.29
Kota Blitar,12125.4,432.55,405.11,120.85,196.14,405.2,139.8,451.45,316.31,358.63,101.76,200.36,553.95,131.1,230.4,785.99,223.44,253.08,354.58,33.06,1762.57,1349.57,81.79,313.88,96.45,2490.78,336.59
Kota Malang,12839.07,583.16,470.54,183.09,253.32,489.02,193.54,373.38,530.61,390.58,165.24,63.44,360.62,264.05,304.03,834.08,320.9,155.68,16.56,27.74,2061.84,1578.36,174.06,852.01,70.22,1889.68,233.34
Kota Probolinggo,7414.85,277.81,347.03,152.55,77.29,185.87,68.07,325.59,559.84,139.44,229.24,68.16,418.68,136.53,100.88,518.04,51.68,8.21,10.76,-,873.62,868.25,60.14,355.85,16.08,1072.74,492.51
Kota Pasuruan,10470.8,411.68,354.83,117.89,117.93,290.36,127.26,314.15,491.28,259.91,151.99,24.4,308.3,166.21,127.9,845.97,428.52,37.62,4.74,11.12,1634.57,1200.99,76.97,1343.9,21.81,1331.41,269.11
Kota Mojokerto,11824.51,314.6,416.11,172.99,125.11,294.4,76.57,295.02,609.45,434.74,100.44,35.01,342.05,144.51,113.75,772.02,507.57,98.16,33.28,13.64,2138.35,1711.03,120.42,959.27,102.78,1717.24,176
Kota Madiun,13796.43,651.38,571.22,234.9,274.22,549.13,229.51,497.79,532.29,799.2,175.13,164.38,493.98,272.93,258.68,769.7,271.16,104.72,80.42,7.43,1839.96,1435.52,223.04,640.01,185.77,2217.02,316.94
Kota Surabaya,15337.65,524.66,516.73,151.92,281.87,381.85,201.29,364.43,513.35,444.64,175.87,81.37,433.23,243,146.55,1202.45,1031.55,113.69,17.43,10.42,2417.09,1992.17,299.81,1278.38,200.28,2158.09,155.52
Kota Batu,12876.2,492.74,476.64,225.58,490.1,588,219.56,277.25,444.14,326.9,89.7,115.2,491.47,175.56,533.91,762.33,230.24,316.07,5.28,-,2114.19,1555.92,67.86,499.76,39.8,2037.34,300.67
Pandeglang,9638.24,151.84,388.98,52.33,18.49,97.76,32.56,314.81,594.58,70.14,418.65,248.37,149.39,123.75,120.36,668.43,875.45,81,89.35,287.58,1529.46,852.63,17.72,865.43,105.74,1368.61,114.83
Lebak,11249.16,370.54,519.16,96.98,46.52,105.71,90.39,315.78,566.58,85.82,733.7,443.83,244.47,169.04,71.73,899.17,752.2,51.15,69.39,578.61,1604.5,918.2,13.73,800.16,250.3,1385.43,66.08
Tangerang,15518.09,716.73,655.09,104.71,243.24,196.73,198.95,409.47,522.49,251.9,492.06,119.88,251.74,245.81,290.89,960,811.36,32.63,58.45,738.01,2324.39,1098.25,129.8,2292.61,241.39,2004.61,126.92
Serang,13753.28,490.15,633.06,138.69,48.49,112.86,35.59,412.84,546.18,154.05,548.97,179.47,250.18,163.65,90.17,1068.86,1020.44,79.05,52.83,767.51,2012.91,912.55,36.07,1939.15,215.54,1751.88,92.14
Kota Tangerang,21358.6,1015.51,844.86,200.89,661.18,418.74,346.08,591.52,635.25,564.59,601.72,100.99,407.25,383.74,413.41,1526.07,1165.77,103.45,14.37,732.91,2544.56,1485.48,329.3,2972.88,350.36,2611.1,336.65
Kota Cilegon,13727.18,474.12,662.43,30.15,128.69,173.39,160.18,373.55,526.81,314.55,427.02,129.31,292.24,182.82,176.96,1053.59,638.61,41.11,44.86,130.79,2219.86,1125.9,121.65,2083.6,131.48,1775.58,307.92
Kota Serang,12711.13,485.8,545.9,16.89,53.5,118.35,82.28,370.7,471.3,185.26,449.36,55.79,321.98,131.2,115.08,979.2,869.26,21.5,26.59,499.1,1878.39,1010.33,67.21,2137.02,238.81,1499.81,80.52
Kota Tangerang Selatan,18424.38,763.17,723.17,123.79,438.66,245.78,358.38,442.73,419.9,495.73,430.89,113.58,304.82,356.66,322.71,1390.81,1011.03,41.32,20.25,274.65,2330.76,1578.97,351.34,2847.88,539.69,2331.4,166.29
Jembrana,12896.82,531.42,605.02,235.67,72.82,169.37,162.53,450.4,253.4,172.97,312.7,596.13,346.59,419.3,67.16,693.15,25.39,344.59,327.84,1.89,2428.21,1627.08,14.19,611.73,37.68,1706.19,683.39
Tabanan,15270.9,615.52,627.61,490.37,213.43,422.98,430.91,386.09,208.05,316.45,239.56,460.99,448.78,422.57,306.46,533.82,127.26,371.32,113.28,25.34,2990.31,1963.94,85.77,977.55,177.52,1929.92,385.1
Badung,14833.38,625.16,727.74,439.29,255.57,546.25,511.77,498.98,417.06,434.85,257.53,264.8,291.26,548.37,425.31,840.57,64.7,300.1,162.99,5.54,2452.78,1432.49,55.38,818.69,67.56,2235.52,153.12
Gianyar,13053.81,502.18,495.4,378.99,114.02,387.84,442.53,342.02,165.23,267.6,196.58,192.16,341.57,456.36,400.77,465.36,4.58,378.29,119.01,1.6,2483.72,1646.05,33.93,938.09,251.47,1919.72,128.74
Klungkung,18450.17,831.86,781.43,756.5,308.31,416.3,470.07,503.91,288.62,1156.44,132.72,425.67,625.04,656.29,224,481.85,39.3,384.12,735.23,-,3069.13,2343.35,42.31,1454.75,352.51,1808.26,162.18
Bangli,15220.86,565.93,291.55,607,112.74,219.41,709.38,248.3,208.26,231.09,190.85,394.25,374.65,592.29,813.99,444.8,21.16,431,110.77,1.59,2950.89,1993.3,14.33,264.32,338.16,2767.7,323.14
Karangasem,11326.59,347.19,409.84,319.77,52.4,127.6,181.9,252.39,127.69,63.13,35.44,299.43,294.71,383.42,230.05,449.69,41.5,92.12,58.64,-,2399.84,1245.65,6.88,630.69,8.41,2832.81,435.38
Buleleng,13204.28,547.76,544.52,261.28,10.88,106.28,294.93,333.86,192.83,139.27,301.95,567.05,401.86,390.39,195.72,754.51,13,184.98,171.48,0.8,2479.2,1437.52,1.22,591.1,75.18,2718.61,488.1
Kota Denpasar,15683.13,649.38,669.41,321.9,380.1,558.21,419.23,456.38,528.03,473.76,319.76,102.51,453.39,625.93,380.39,963.66,165.6,226.14,52.08,6.01,2536.94,1534.58,100.66,1123.48,59.2,2426.81,149.59
Lombok Barat,13529.39,371.57,602.67,333.09,49.95,130.5,66.26,510.7,700.81,178.93,386.07,369.55,487.67,334.72,134.07,430.82,63.75,136.62,293.26,13.55,2840.53,1585.73,36.11,650.95,214.81,2108.44,498.26
Lombok Tengah,14060.77,331.83,549.47,319.77,78.14,139.98,52.52,812.49,808.92,62.3,312.02,434.02,436.03,267.7,325.9,423.87,329.69,81.57,231.06,-,2583.64,1204.94,1.87,139.38,70.27,2858.33,1205.06
Lombok Timur,17006.67,422.66,704.23,533.44,134.13,186.76,279.97,652.85,1562.37,253.48,525.31,365.18,615.2,439.25,403.46,549.87,63.06,158.63,257.55,-,2342.8,1281.59,25.79,630.3,150.29,3776.63,691.9
Sumbawa,12956.8,462.65,473.63,440.09,101.15,341.72,110.79,510.11,1309.87,246.26,439.35,173.69,538.14,257.9,134.91,615.72,101.15,83.64,164.23,-,1994.13,970.18,74.23,428.89,97.24,2225.73,661.4
Dompu,9567.01,518.6,658.07,329.13,20.96,59.47,28.69,668.79,1059.88,137.53,257.56,324.38,261.56,300.58,123.2,316.33,84.62,112.11,440.06,-,1104.64,549.32,16.85,502.18,71.32,868.76,752.41
Bima,8394.42,388.89,409.78,275.01,11.61,48.99,14.41,424.11,963.98,116.48,277.42,161.03,200.21,243.44,177.05,287.42,159.33,67.3,213.69,-,1087.28,476.99,8.75,315.19,7.2,862.32,1196.55
Sumbawa Barat,12787.1,407.87,506.81,482.08,63.42,146.54,48.33,585.31,1277.72,271.02,438.84,162.43,631.88,283.84,93.78,583.66,76.78,110.76,157.24,111.29,1807.98,657.32,86.62,563.3,167.56,2228.65,836.09
Lombok Utara,16739.65,406.27,770.6,426.72,108.2,162.28,46.68,670.27,1223.24,194.95,425.98,548.93,652.55,408.69,260.33,521.93,24.45,148.78,384.77,5.79,2426.32,1392.5,12.66,677.1,106.7,3568.81,1164.18
Kota Mataram,12863.44,348.96,609.21,281.41,262.53,399.19,171.9,378.29,1033.96,388.02,364.27,92.53,362.18,375.2,115.22,667.6,144.05,36.44,118.18,29.79,1819.97,1174.43,68.8,784.09,216.75,1967.31,653.15
Kota Bima,8484.27,347.57,333.79,224.13,73.33,145.54,18.45,342.1,923.89,363.62,251.49,104.08,207.22,322.38,216.43,385.59,336.64,32.07,98.4,-,1093.14,608.61,56.41,280.17,24.66,962.08,732.47
Sumba Barat,11959.25,439.89,613.73,88.45,150.29,931.05,68.83,168.46,620.35,172.42,87.81,1413.8,322.23,112.49,664.32,19.28,-,7.29,543.63,1.33,1360.9,1253.09,18.78,82.52,76.84,1733.87,1007.62
Sumba Timur,13258.86,698.81,1143.12,14.55,16.32,1010.19,203.27,198.63,651.3,122.44,90.76,1758.63,558.44,74.38,457.28,31.75,3.97,14.73,609.84,2.81,1364.43,955.62,8.46,80.19,54.4,1169.58,1964.94
Kupang,11929.6,278.3,1103.66,48.33,136.23,372.85,105.54,222.21,454.59,119.78,30.72,1678.88,265.67,97.05,738.22,13.94,-,23.54,925.81,9.07,1292.25,882.68,16.62,304.9,22.95,1054.55,1731.28
Timor Tengah Selatan,13626.57,447.33,921.57,148.88,516.88,371.98,265.73,53.67,483.59,178.12,118.44,2012.86,284.23,66.79,1012.5,10.59,8.34,92.77,1370.14,-,1210.88,932.62,3.28,227.49,64.96,1360.58,1462.36
Timor Tengah Utara,12829.05,466.01,1010.54,78.72,334.19,558.73,188.2,314.9,1105.9,243.28,336.32,1754.01,406.04,100.87,1162.67,28.61,-,28.19,1100.11,2.46,851.55,718.77,18.61,302.29,21.89,911.54,784.66
Belu,11587.94,443.71,973.94,195.16,601.14,572.13,123.92,367.08,857.66,199.62,92.79,1149.13,348.86,107.46,813.61,174.2,14.78,23.61,717.75,10.43,1179.3,1042.68,23.77,566.12,50.61,613.95,324.52
Alor,14755.12,366.58,698.46,69.59,173.42,266.6,93.65,214.13,346.01,285.75,142.81,2405.78,525.35,99.79,1072.9,42.81,11.23,39.42,1142.84,-,1365.64,1230.93,29.69,116.95,32.72,1091.93,2890.12
Lembata,11219.58,414.18,821.33,52.48,64.12,173.36,2.5,255.1,458.05,94.55,141.79,1413.38,732.47,45.48,560.94,200.34,-,8.17,610.22,-,1504.75,1120.04,-,177.4,100.74,451.05,1817.14
Flores Timur,9598.62,391.03,563.05,60.89,67.96,150.47,6.02,271.99,251.49,79.26,156.49,1578.43,489.49,40.32,467.81,31.54,2.73,22.45,447.21,-,1570.76,1107.33,0.9,188.32,41.67,328.82,1282.17
Sikka,10191.38,358.75,542.56,103.56,262.99,769.5,72.66,165.71,436.42,205.22,15.17,1642.67,360.78,86.07,481.66,124.23,19.35,17.78,187.84,-,1088.79,928.5,-,71.04,9.75,886.75,1353.64
Ende,15694.93,837.29,776.84,219.59,493.23,642.5,337.29,315.45,800.98,394.46,162.57,1854.36,956.57,82.27,1140.73,66.38,4.66,47.62,449.58,1.51,1729.41,1389.43,12.8,503.26,51.46,1769.81,654.86
Ngada,14314.02,479.52,549.55,190.03,278.87,325.58,128.47,168.92,422.88,428.07,115.91,2183.1,628.12,114.32,956.14,1.61,0.65,55.84,418.29,13.64,1658.98,1537.19,60.57,316.57,56.86,1703.63,1520.69
Manggarai,12186.84,630.45,509.73,126.29,269.2,428.01,85.2,114.97,239.32,161.54,115.77,3120.38,216.22,106.58,1482.61,8.17,-,23.35,400.57,0.17,1429.25,1133.99,2.13,50.72,3.37,686.76,842.1
Rote Ndao,9811.78,431.69,1547.29,66.47,309.83,716.11,236.27,217.81,133.73,116.72,89.24,333.39,523.04,8.01,182.21,22.97,-,16.42,639.26,0.15,1201.26,609.28,-,65.82,33.87,975.97,1334.97
Manggarai Barat,11738.61,584.04,484.42,320.67,196.43,340.01,69.26,179.63,324.24,195.51,42.05,2871.53,368.12,59.71,994.34,9.96,-,42.55,781.75,-,1475,1017.47,3.9,130.94,15.29,493.46,738.33
Sumba Tengah,13950.12,413.09,776.18,77.41,268.2,563.89,215.68,303.22,417.44,119.74,52.63,1697.53,320.88,30.86,1229.81,9.71,-,73.51,1146.63,-,1371.22,1171.67,3.24,147.06,164.45,2001.83,1374.26
Sumba Barat Daya,10276.22,525.22,451.72,33.08,235.43,379.56,95.09,237.2,171.25,65.75,28.5,1626.91,349.67,16.59,764.4,6.19,19.56,17.63,345.33,-,1174.82,954.85,3.61,134.28,100.36,1605.4,933.85
Nagekeo,10272.68,410.35,365.73,68.07,129.54,167.71,25.85,120.87,264.66,87.39,67.57,2149.56,437.58,26.72,834.42,1.66,-,29.02,300.32,-,1106.56,956.73,-,195.99,26.11,1241.11,1259.15
Manggarai Timur,10736.91,656.22,460.37,18.55,150.4,11.21,180.45,198.28,70.4,64.26,96.22,2731.71,267.13,64.56,1349.21,-,1.27,25.24,580.89,-,1546.52,1031.41,1.77,158.1,44.95,469.11,558.68
Sabu Raijua,15053.13,813.03,1722.21,334.66,343.49,431.15,442.12,1100.77,259.6,144.03,534.92,962.65,122.09,59.22,1102,67.5,-,36.08,1089.33,1.42,1452.82,1096.54,5.99,239.41,146.64,1871.32,674.14
Malaka,10985.95,779.09,1120.79,159.33,706.85,348.36,37.26,278.25,722.26,52.93,76.14,1343.87,742.45,56.7,335.32,11.09,0.34,85.73,761.91,2.05,1108.64,842.63,10.3,232.5,127.2,506.4,537.53
Kota Kupang,16756.46,970.83,1759.09,316.14,625.21,855.7,390.62,312.67,1006.75,540.37,171.23,1175.64,445.39,210.56,818.33,222.18,6.12,40.16,784.25,4.84,1508.8,1340.23,36.48,344.15,45.1,1677.96,1147.66
Sambas,10252.2,330.24,486.13,267.3,311.51,625.71,81.75,376.61,94.17,158.28,844.5,328.97,219.86,411.65,126.71,75.28,32.77,64.73,28.6,-,1506.98,1053.37,78.27,998.24,146.84,941.02,662.71
Bengkayang,13468.89,658.29,862.37,261.41,254.91,831.12,345.45,379.07,176.29,356.24,896.65,1144.89,359.66,357.23,353.19,102.75,54.52,56.83,119.98,14.06,1656.98,1354.31,88.37,145.17,36.78,1769.12,833.28
Landak,16479.13,676.6,1087.7,146.11,161.85,614.6,76.39,591.74,193.74,205.62,1242.79,1773.11,964.05,216.74,359.76,188.77,31.64,130.06,145.73,41.71,2121.73,1793.39,41.77,222.19,65.29,1939.76,1446.29
Mempawah,9886.84,486.92,738.43,192.62,111.19,733.85,117.06,368.48,148.85,260.68,446.93,409.91,223.98,393.05,157.67,78.89,99.19,84.71,87.87,69.25,1435.47,1069.16,85.56,350.52,35.95,1453.34,247.32
Sanggau,13770.18,718.42,763.45,271.93,65.45,610.73,179.98,554.03,254.23,269.04,946.37,1245.5,809.3,250.66,322.54,174.63,139.13,245.72,109.02,22.61,1611.17,1402.97,44.17,186.25,68.67,1984.89,519.33
Ketapang,16003.61,811.34,1240.08,371.37,74.13,621.14,93.15,797.85,263.39,453.75,1079.39,689.85,616.1,147.95,532.23,165.37,88.87,140.58,167.26,95.07,1993.71,1450.08,45.02,664.56,75.2,2542.37,783.81
Sintang,17569.03,734.03,1004.52,268.25,132.67,518.82,159.39,1114.79,258.87,337.33,1611.35,952.89,911.69,138.1,486.09,19.15,86.04,324.24,146.45,250.72,2040.48,1653.33,73.93,416,373.64,2419.32,1136.94
Kapuas Hulu,17426.13,1152.34,1289.29,231.29,42.85,857.55,59.55,750.04,171.94,395.38,1811.96,974.02,765.32,302.15,500.11,203.78,200.85,162.28,6.32,196.76,2056.91,1781.41,10.15,293.48,66.74,1832.32,1311.35
Sekadau,13816.33,667.83,771.91,169.97,85.35,741.66,114.3,746.01,165.5,311.68,1465.37,1175.93,833.74,230.84,321.11,17.77,7.98,237.87,48.55,60.91,1564.92,1297.66,38.25,368.56,218.38,1529.5,624.79
Melawi,16582.41,637.79,688.52,314.35,92.33,561.67,202.41,746.2,213.35,310.53,1363.78,1000.43,791.7,187.09,392.67,215.25,14.38,196.8,72.38,105.51,1997.01,1613.61,45.26,242.77,149.08,3709.86,717.66
Kayong Utara,14714.96,601.87,1214.06,387.64,82.56,1123.53,32.74,558.9,75.11,378.56,752.75,684.62,774.73,90.08,284.22,143.27,56.3,178.51,28.99,16.37,1871.8,1382.15,15.11,526.21,168.47,2922.88,363.5
Kubu Raya,9762.05,543.27,574.2,207.16,161.84,627.24,101.48,400.14,132.96,222.58,451.37,548.87,292.02,250.06,128.97,36.63,28.72,103.38,37.24,40.45,1570.07,1133.5,11.1,253.08,35.98,1603.56,266.15
Kota Pontianak,12834.05,816.07,913.12,269.59,220.95,979.75,259.29,333.79,450.8,589.42,550.35,238.74,331.41,464.5,195.59,256.81,224.61,158.97,18.3,67.06,1391.66,1097.41,200.7,421.15,140.22,1831.83,411.94
Kota Singkawang,11139.2,689.91,853.63,167.24,345.95,940.01,253.79,499.89,153.01,363.65,754.4,252.41,231.55,479.71,156.06,279.53,86.19,88.36,42.55,8.27,1192.64,921.82,59.81,217.29,177.84,1462.05,461.64
Kotawaringin Barat,16812.61,731.33,908.12,412.35,248.15,456.32,353.55,496.65,569.08,604.54,804.78,521.87,950.26,152.47,306.46,714.2,85.66,373.34,177.58,137.82,2311.9,1774.86,119.21,470.2,138.58,2807.44,185.88
Kotawaringin Timur,15516.64,595.11,770.85,517.71,80.55,329.4,247.01,629.26,609.26,346.12,668.77,634.78,1007.75,194.87,283.68,570.41,75.9,274.47,118.07,102.05,2448.51,1578.14,9.48,295.56,8.59,2528.07,592.28
Kapuas,11766.3,561.55,623.68,237.08,25.39,153.46,131.41,698.68,292.05,180.62,459.37,529.73,842.1,75.22,232.48,551.58,143.99,159.23,56.77,20.1,2148.31,1393.11,14.32,322.84,96.42,1345.19,471.6
Barito Selatan,11281.13,591.07,618.69,208.89,41.42,82.58,132.89,563.6,279.82,166.73,330.93,603.58,982.02,44.97,298.92,451.02,51.24,86.99,92.25,8.71,2093.23,1276.93,8.64,278.19,203.47,1425.83,358.5
Barito Utara,12995.91,771.69,818.97,161.45,18.46,150,195.64,480.39,346.8,162.75,524.08,967.07,861.31,123.94,311.27,699.81,154.52,227.46,77.16,21.36,2288.92,1469.25,16.49,159.02,120.2,1654.78,213.11
Sukamara,17033.01,880.25,1056.82,345.03,116.49,325.38,209.96,503.25,444.22,430.22,869.65,621.77,768.97,174.09,517.41,500.55,139.94,253.57,73.48,73.33,2682.75,2173.07,30.02,620.91,53.12,2821.95,346.83
Lamandau,23235.84,991.52,1073.5,545.77,193.81,594.12,256.66,777.44,475.99,903.93,1291.77,1219.02,1238.28,124.8,415.75,506.01,160.96,325.51,197.52,37.42,3457.67,3008.2,61.62,303.31,126.03,4282.92,666.32
Seruyan,17861.4,709.91,803.37,395.44,82.49,183.67,118.13,741.91,759.65,548.14,1364.79,701.79,1247.48,81.19,501.51,517.45,81.85,273.39,73.58,50.47,2964.12,1952.1,10.74,584.26,33.5,3015.91,64.58
Katingan,17800.39,818.93,680.35,255.26,77.88,194.32,115.71,941.64,426.31,339.31,1152.95,661.93,1016.47,96.68,492.14,572.73,114.88,324.96,107.89,107.33,2907.86,2001.15,16.01,717.48,202.3,2804.55,653.39
Pulang Pisau,15737.2,543.72,885.94,370.82,23.76,204.2,124.75,950.8,358.71,290.96,356.16,760.52,945.08,115.25,230.38,707.44,106.72,457.36,155.09,29.33,2885.59,1997.48,1.69,326.86,71.27,2409.24,428.09
Gunung Mas,17887.43,710.34,767.14,101.4,17.71,316.36,101.77,987.51,156.6,436.95,1309.83,1097.62,1048.37,15.12,523.59,732,217.13,367.8,54.55,13.18,2624.29,2040.09,14.48,254.62,33.8,2394.86,1550.34
Barito Timur,11083.82,457.82,560.87,165.44,21.41,112.36,170.66,514.08,256,185.96,206.47,641.83,1033.71,69.19,234.46,479.55,249.69,189.11,94.88,10.69,2077.75,1264,24.32,139.71,85.81,1180.11,657.94
Murung Raya,14628.42,813.2,787.32,146.11,11.85,107.43,104.72,764.18,247.1,215.33,1267.13,1156.38,889.02,30.97,337.38,392.85,193.17,277.8,70.22,111.99,2481.2,1801.48,21.25,350.72,74.79,1743.38,231.43
Kota Palangka Raya,14039.51,710.02,795,253.07,121.85,413.64,321.17,505.94,442.25,598.22,597.73,308.91,1031.01,204.75,398.17,914.7,262.11,108.86,43.2,79.1,1919.39,1399.43,82.68,389.87,213.67,1521.79,402.99
Tanah Laut,12941.12,643.17,566.78,268.43,49.55,296.37,361.5,497.65,446.46,203.38,467.04,392.71,912.12,98.84,261.47,905.67,103.67,169.99,156.47,4.08,2370.05,1258.38,26.09,265.07,182.63,1681,352.52
